Creneau;Type;Equipier1;Equipier2
Cr_2;Bar;ben_45;ben_57
Cr_4;Bar;ben_88;ben_95
Cr_13;Camping;ben_55;ben_96
Cr_16;Camping;ben_21;ben_83
Cr_23;Camping;ben_23;ben_99
Cr_27;Entree;ben_90;ben_104
Cr_28;Entree;ben_69;ben_89
Cr_44;Secu;ben_13;ben_70
Cr_49;Snack;ben_7;ben_16
Cr_56;Snack;ben_12;ben_72
Cr_37;Secu;ben_22;ben_71
Cr_48;Snack;ben_64;ben_66
Cr_53;Snack;ben_9;ben_24
Cr_8;Bar;ben_53;ben_62
Cr_9;Bar;ben_68;ben_91
Cr_19;Camping;ben_52;ben_74
Cr_47;Snack;ben_2;ben_46
Cr_7;Bar;ben_20;ben_51
Cr_21;Camping;ben_1;ben_35
Cr_30;Entree;ben_28;ben_73
Cr_31;Entree;ben_10;ben_15
Cr_46;Secu;ben_25;ben_58
Cr_51;Snack;ben_60;ben_78
Cr_18;Camping;ben_67;ben_80
Cr_22;Camping;ben_39;ben_48
Cr_24;Camping;ben_82;ben_86
Cr_26;Entree;ben_3;ben_59
Cr_36;Secu;ben_17;ben_76
Cr_39;Secu;ben_63;ben_102
Cr_50;Snack;ben_33;ben_94
Cr_20;Camping;ben_93;ben_106
Cr_29;Entree;ben_79;ben_100
Cr_1;Bar;ben_54;ben_84
Cr_14;Camping;ben_18;ben_97
Cr_42;Secu;ben_43;ben_98
Cr_45;Secu;ben_14;ben_27
Cr_54;Snack;ben_29;ben_92
Cr_55;Snack;ben_5;ben_61
Cr_11;Bar;ben_8;ben_101
Cr_25;Entree;ben_42;ben_50
Cr_38;Secu;ben_26;ben_103
Cr_6;Bar;ben_44;ben_65
Cr_10;Bar;ben_6;ben_37
Cr_12;Camping;ben_34;ben_49
Cr_15;Camping;ben_30;ben_40
Cr_32;Entree;ben_4;ben_47
Cr_35;Secu;ben_11;ben_32
Cr_3;Bar;ben_31;ben_77
Cr_5;Bar;ben_38;ben_56
Cr_17;Camping;ben_41;ben_87
Cr_33;Entree;ben_75;ben_85
Cr_34;Entree;ben_19;ben_36
Cr_40;Secu;ben_81;ben_105
Valeur objectif;305736
