Creneau;Type;Equipier1;Equipier2
Cr_3;Bar;ben_34;ben_141
Cr_19;Bar;ben_45;ben_71
Cr_28;Camping;ben_68;ben_151
Cr_53;Entree;ben_26;ben_130
Cr_59;Secu;ben_81;ben_142
Cr_67;Secu;ben_132;ben_137
Cr_74;Secu;ben_92;ben_104
Cr_76;Secu;ben_17;ben_159
Cr_78;Secu;ben_79;ben_84
Cr_84;Snack;ben_124;ben_178
Cr_88;Snack;ben_30;ben_118
Cr_12;Bar;ben_105;ben_106
Cr_45;Entree;ben_59;ben_77
Cr_50;Entree;ben_123;ben_129
Cr_68;Secu;ben_67;ben_177
Cr_23;Camping;ben_53;ben_119
Cr_34;Camping;ben_72;ben_167
Cr_35;Camping;ben_78;ben_134
Cr_36;Camping;ben_55;ben_98
Cr_44;Entree;ben_57;ben_88
Cr_49;Entree;ben_70;ben_170
Cr_69;Secu;ben_126;ben_153
Cr_71;Secu;ben_3;ben_173
Cr_73;Secu;ben_28;ben_176
Cr_90;Snack;ben_23;ben_35
Cr_10;Bar;ben_109;ben_111
Cr_15;Bar;ben_95;ben_116
Cr_16;Bar;ben_54;ben_162
Cr_47;Entree;ben_21;ben_114
Cr_80;Snack;ben_82;ben_113
Cr_92;Snack;ben_143;ben_146
Cr_2;Bar;ben_96;ben_117
Cr_6;Bar;ben_40;ben_150
Cr_7;Bar;ben_90;ben_138
Cr_8;Bar;ben_10;ben_51
Cr_26;Camping;ben_2;ben_101
Cr_31;Camping;ben_107;ben_168
Cr_48;Entree;ben_63;ben_89
Cr_51;Entree;ben_14;ben_103
Cr_62;Secu;ben_39;ben_164
Cr_75;Secu;ben_93;ben_125
Cr_79;Snack;ben_18;ben_86
Cr_83;Snack;ben_87;ben_172
Cr_85;Snack;ben_8;ben_179
Cr_93;Snack;ben_75;ben_110
Cr_9;Bar;ben_69;ben_163
Cr_25;Camping;ben_58;ben_66
Cr_33;Camping;ben_108;ben_169
Cr_37;Camping;ben_33;ben_135
Cr_43;Entree;ben_115;ben_144
Cr_54;Entree;ben_60;ben_100
Cr_55;Entree;ben_27;ben_38
Cr_60;Secu;ben_29;ben_128
Cr_77;Secu;ben_52;ben_91
Cr_1;Bar;ben_166;ben_171
Cr_11;Bar;ben_61;ben_152
Cr_24;Camping;ben_24;ben_43
Cr_42;Entree;ben_97;ben_140
Cr_56;Entree;ben_12;ben_42
Cr_58;Secu;ben_19;ben_85
Cr_61;Secu;ben_158;ben_161
Cr_81;Snack;ben_48;ben_94
Cr_4;Bar;ben_1;ben_64
Cr_5;Bar;ben_37;ben_112
Cr_17;Bar;ben_36;ben_133
Cr_22;Camping;ben_139;ben_174
Cr_40;Entree;ben_154;ben_165
Cr_46;Entree;ben_15;ben_46
Cr_52;Entree;ben_102;ben_175
Cr_57;Secu;ben_50;ben_180
Cr_70;Secu;ben_44;ben_147
Cr_72;Secu;ben_62;ben_149
Cr_91;Snack;ben_7;ben_31
Cr_20;Camping;ben_148;ben_155
Cr_21;Camping;ben_22;ben_25
Cr_27;Camping;ben_5;ben_156
Cr_39;Entree;ben_83;ben_160
Cr_41;Entree;ben_20;ben_120
Cr_63;Secu;ben_6;ben_16
Cr_64;Secu;ben_4;ben_47
Cr_82;Snack;ben_56;ben_74
Cr_13;Bar;ben_99;ben_131
Cr_14;Bar;ben_65;ben_145
Cr_18;Bar;ben_49;ben_127
Cr_29;Camping;ben_9;ben_73
Cr_30;Camping;ben_76;ben_157
Cr_32;Camping;ben_32;ben_80
Cr_38;Camping;ben_121;ben_136
Cr_65;Secu;ben_41;ben_122
Cr_66;Secu;ben_11;ben_13
Valeur objectif;488124
