Creneau;Type;Equipier1;Equipier2
Cr_2;Bar;ben_1;ben_2
Cr_4;Bar;ben_3;ben_4
Cr_13;Camping;ben_5;ben_6
Cr_16;Camping;ben_7;ben_8
Cr_23;Camping;ben_9;ben_10
Cr_27;Entree;ben_11;ben_12
Cr_28;Entree;ben_13;ben_14
Cr_44;Secu;ben_15;ben_16
Cr_49;Snack;ben_17;ben_18
Cr_56;Snack;ben_19;ben_20
Cr_37;Secu;ben_21;ben_22
Cr_48;Snack;ben_23;ben_24
Cr_53;Snack;ben_25;ben_26
Cr_8;Bar;ben_27;ben_28
Cr_9;Bar;ben_29;ben_30
Cr_19;Camping;ben_31;ben_32
Cr_47;Snack;ben_33;ben_34
Cr_7;Bar;ben_35;ben_36
Cr_21;Camping;ben_37;ben_38
Cr_30;Entree;ben_39;ben_40
Cr_31;Entree;ben_41;ben_42
Cr_46;Secu;ben_43;ben_44
Cr_51;Snack;ben_45;ben_46
Cr_18;Camping;ben_47;ben_48
Cr_22;Camping;ben_49;ben_50
Cr_24;Camping;ben_51;ben_52
Cr_26;Entree;ben_53;ben_54
Cr_36;Secu;ben_55;ben_56
Cr_39;Secu;ben_57;ben_58
Cr_50;Snack;ben_59;ben_60
Cr_20;Camping;ben_61;ben_62
Cr_29;Entree;ben_63;ben_64
Cr_1;Bar;ben_65;ben_66
Cr_14;Camping;ben_67;ben_68
Cr_42;Secu;ben_69;ben_70
Cr_45;Secu;ben_71;ben_72
Cr_54;Snack;ben_73;ben_74
Cr_55;Snack;ben_75;ben_76
Cr_11;Bar;ben_77;ben_78
Cr_25;Entree;ben_79;ben_80
Cr_38;Secu;ben_81;ben_82
Cr_6;Bar;ben_83;ben_84
Cr_10;Bar;ben_85;ben_86
Cr_12;Camping;ben_87;ben_88
Cr_15;Camping;ben_89;ben_90
Cr_32;Entree;ben_91;ben_92
Cr_35;Secu;ben_93;ben_94
Cr_3;Bar;ben_95;ben_96
Cr_5;Bar;ben_97;ben_105
Cr_17;Camping;ben_99;ben_101
Cr_33;Entree;ben_98;ben_100
Cr_34;Entree;ben_102;ben_104
Cr_40;Secu;ben_103;ben_106
Valeur objectif;305330
