Creneau;Type;Equipier1;Equipier2
Cr_5;Bar;ben_1;ben_2
Cr_35;Bar;ben_3;ben_4
Cr_38;Bar;ben_5;ben_6
Cr_56;Bar;ben_7;ben_8
Cr_59;Camping;ben_9;ben_10
Cr_74;Camping;ben_11;ben_12
Cr_81;Camping;ben_13;ben_14
Cr_92;Camping;ben_15;ben_16
Cr_99;Camping;ben_17;ben_18
Cr_103;Camping;ben_19;ben_20
Cr_116;Camping;ben_21;ben_22
Cr_146;Entree;ben_23;ben_24
Cr_147;Entree;ben_25;ben_26
Cr_162;Entree;ben_27;ben_28
Cr_178;Secu;ben_29;ben_30
Cr_184;Secu;ben_31;ben_32
Cr_201;Secu;ben_33;ben_34
Cr_206;Secu;ben_35;ben_36
Cr_207;Secu;ben_37;ben_38
Cr_214;Secu;ben_39;ben_40
Cr_215;Secu;ben_41;ben_42
Cr_233;Secu;ben_43;ben_44
Cr_235;Snack;ben_45;ben_46
Cr_242;Snack;ben_47;ben_48
Cr_261;Snack;ben_49;ben_50
Cr_270;Snack;ben_51;ben_52
Cr_274;Snack;ben_53;ben_54
Cr_280;Snack;ben_55;ben_56
Cr_7;Bar;ben_57;ben_58
Cr_8;Bar;ben_59;ben_60
Cr_29;Bar;ben_61;ben_62
Cr_34;Bar;ben_63;ben_64
Cr_50;Bar;ben_65;ben_66
Cr_60;Camping;ben_67;ben_68
Cr_65;Camping;ben_69;ben_70
Cr_70;Camping;ben_71;ben_72
Cr_80;Camping;ben_73;ben_74
Cr_90;Camping;ben_75;ben_76
Cr_96;Camping;ben_77;ben_78
Cr_97;Camping;ben_79;ben_80
Cr_104;Camping;ben_81;ben_82
Cr_148;Entree;ben_83;ben_84
Cr_150;Entree;ben_85;ben_86
Cr_156;Entree;ben_87;ben_88
Cr_165;Entree;ben_89;ben_90
Cr_177;Secu;ben_91;ben_92
Cr_179;Secu;ben_93;ben_94
Cr_185;Secu;ben_95;ben_96
Cr_186;Secu;ben_97;ben_98
Cr_188;Secu;ben_99;ben_100
Cr_191;Secu;ben_101;ben_102
Cr_193;Secu;ben_103;ben_104
Cr_209;Secu;ben_105;ben_106
Cr_212;Secu;ben_107;ben_108
Cr_225;Secu;ben_109;ben_110
Cr_227;Secu;ben_111;ben_112
Cr_228;Secu;ben_113;ben_114
Cr_231;Secu;ben_115;ben_116
Cr_234;Secu;ben_117;ben_118
Cr_239;Snack;ben_119;ben_120
Cr_241;Snack;ben_121;ben_122
Cr_245;Snack;ben_123;ben_124
Cr_248;Snack;ben_125;ben_126
Cr_255;Snack;ben_127;ben_128
Cr_266;Snack;ben_129;ben_130
Cr_2;Bar;ben_131;ben_132
Cr_14;Bar;ben_133;ben_134
Cr_19;Bar;ben_135;ben_136
Cr_31;Bar;ben_137;ben_138
Cr_37;Bar;ben_139;ben_140
Cr_51;Bar;ben_141;ben_142
Cr_54;Bar;ben_143;ben_144
Cr_55;Bar;ben_145;ben_146
Cr_95;Camping;ben_147;ben_148
Cr_107;Camping;ben_149;ben_150
Cr_117;Entree;ben_151;ben_152
Cr_119;Entree;ben_153;ben_154
Cr_126;Entree;ben_155;ben_156
Cr_137;Entree;ben_157;ben_158
Cr_139;Entree;ben_159;ben_160
Cr_140;Entree;ben_161;ben_162
Cr_141;Entree;ben_163;ben_164
Cr_142;Entree;ben_165;ben_166
Cr_164;Entree;ben_167;ben_168
Cr_189;Secu;ben_169;ben_170
Cr_190;Secu;ben_171;ben_172
Cr_195;Secu;ben_173;ben_174
Cr_198;Secu;ben_175;ben_176
Cr_222;Secu;ben_177;ben_178
Cr_236;Snack;ben_179;ben_180
Cr_244;Snack;ben_181;ben_182
Cr_271;Snack;ben_183;ben_184
Cr_20;Bar;ben_185;ben_186
Cr_28;Bar;ben_187;ben_188
Cr_32;Bar;ben_189;ben_190
Cr_61;Camping;ben_191;ben_192
Cr_66;Camping;ben_193;ben_194
Cr_71;Camping;ben_195;ben_196
Cr_77;Camping;ben_197;ben_198
Cr_85;Camping;ben_199;ben_200
Cr_87;Camping;ben_201;ben_202
Cr_88;Camping;ben_203;ben_204
Cr_93;Camping;ben_205;ben_206
Valeur objectif;934150
