Creneau;Type;Equipier1;Equipier2
Cr_6;Bar;ben_109;ben_173
Cr_9;Bar;ben_63;ben_177
Cr_28;Bar;ben_31;ben_257
Cr_36;Camping;ben_172;ben_221
Cr_37;Camping;ben_217;ben_247
Cr_50;Camping;ben_11;ben_196
Cr_68;Entree;ben_66;ben_151
Cr_80;Entree;ben_202;ben_253
Cr_97;Secu;ben_80;ben_259
Cr_98;Secu;ben_65;ben_115
Cr_106;Secu;ben_53;ben_136
Cr_123;Snack;ben_122;ben_266
Cr_124;Snack;ben_143;ben_178
Cr_130;Snack;ben_34;ben_137
Cr_131;Snack;ben_2;ben_74
Cr_13;Bar;ben_214;ben_240
Cr_20;Bar;ben_103;ben_114
Cr_38;Camping;ben_18;ben_223
Cr_43;Camping;ben_6;ben_140
Cr_54;Camping;ben_89;ben_157
Cr_60;Entree;ben_68;ben_131
Cr_66;Entree;ben_145;ben_159
Cr_82;Entree;ben_19;ben_241
Cr_115;Secu;ben_232;ben_236
Cr_118;Snack;ben_132;ben_182
Cr_122;Snack;ben_44;ben_69
Cr_23;Bar;ben_61;ben_150
Cr_25;Bar;ben_64;ben_194
Cr_39;Camping;ben_25;ben_167
Cr_44;Camping;ben_8;ben_45
Cr_52;Camping;ben_73;ben_205
Cr_61;Entree;ben_85;ben_184
Cr_72;Entree;ben_83;ben_120
Cr_76;Entree;ben_71;ben_135
Cr_84;Entree;ben_96;ben_227
Cr_93;Secu;ben_231;ben_234
Cr_121;Snack;ben_141;ben_208
Cr_135;Snack;ben_117;ben_237
Cr_3;Bar;ben_56;ben_90
Cr_14;Bar;ben_15;ben_239
Cr_18;Bar;ben_70;ben_166
Cr_33;Camping;ben_112;ben_169
Cr_40;Camping;ben_1;ben_249
Cr_51;Camping;ben_199;ben_219
Cr_55;Camping;ben_142;ben_197
Cr_56;Camping;ben_35;ben_179
Cr_65;Entree;ben_78;ben_123
Cr_104;Secu;ben_21;ben_149
Cr_116;Secu;ben_99;ben_191
Cr_119;Snack;ben_102;ben_125
Cr_120;Snack;ben_13;ben_160
Cr_126;Snack;ben_40;ben_272
Cr_8;Bar;ben_62;ben_104
Cr_11;Bar;ben_20;ben_33
Cr_16;Bar;ben_23;ben_218
Cr_26;Bar;ben_86;ben_176
Cr_29;Camping;ben_215;ben_229
Cr_47;Camping;ben_156;ben_212
Cr_70;Entree;ben_94;ben_118
Cr_85;Entree;ben_60;ben_170
Cr_87;Secu;ben_124;ben_130
Cr_103;Secu;ben_17;ben_190
Cr_113;Secu;ben_81;ben_267
Cr_114;Secu;ben_49;ben_200
Cr_125;Snack;ben_50;ben_262
Cr_127;Snack;ben_242;ben_254
Cr_132;Snack;ben_4;ben_77
Cr_4;Bar;ben_29;ben_206
Cr_5;Bar;ben_163;ben_264
Cr_27;Bar;ben_258;ben_260
Cr_41;Camping;ben_155;ben_220
Cr_48;Camping;ben_82;ben_216
Cr_49;Camping;ben_14;ben_269
Cr_63;Entree;ben_108;ben_201
Cr_69;Entree;ben_97;ben_204
Cr_74;Entree;ben_37;ben_263
Cr_75;Entree;ben_59;ben_198
Cr_78;Entree;ben_105;ben_111
Cr_89;Secu;ben_75;ben_168
Cr_92;Secu;ben_43;ben_261
Cr_95;Secu;ben_225;ben_238
Cr_101;Secu;ben_55;ben_209
Cr_102;Secu;ben_195;ben_268
Cr_108;Secu;ben_213;ben_226
Cr_111;Secu;ben_116;ben_245
Cr_134;Snack;ben_30;ben_251
Cr_137;Snack;ben_48;ben_185
Cr_15;Bar;ben_12;ben_161
Cr_17;Bar;ben_24;ben_192
Cr_21;Bar;ben_154;ben_175
Cr_31;Camping;ben_16;ben_121
Cr_35;Camping;ben_72;ben_95
Cr_58;Camping;ben_148;ben_270
Cr_71;Entree;ben_133;ben_165
Cr_73;Entree;ben_91;ben_207
Cr_83;Entree;ben_144;ben_244
Cr_99;Secu;ben_27;ben_119
Cr_107;Secu;ben_84;ben_113
Cr_110;Secu;ben_107;ben_252
Cr_133;Snack;ben_54;ben_186
Cr_138;Snack;ben_22;ben_235
Cr_139;Snack;ben_36;ben_171
Cr_1;Bar;ben_88;ben_129
Cr_10;Bar;ben_128;ben_139
Cr_12;Bar;ben_26;ben_52
Cr_19;Bar;ben_79;ben_98
Cr_30;Camping;ben_39;ben_210
Cr_53;Camping;ben_38;ben_228
Cr_57;Camping;ben_51;ben_106
Cr_59;Entree;ben_76;ben_188
Cr_79;Entree;ben_10;ben_211
Cr_96;Secu;ben_57;ben_92
Cr_105;Secu;ben_7;ben_189
Cr_109;Secu;ben_3;ben_255
Cr_112;Secu;ben_42;ben_271
Cr_136;Snack;ben_41;ben_246
Cr_7;Bar;ben_5;ben_101
Cr_22;Bar;ben_32;ben_67
Cr_24;Bar;ben_174;ben_180
Cr_34;Camping;ben_193;ben_203
Cr_45;Camping;ben_164;ben_265
Cr_64;Entree;ben_146;ben_162
Cr_67;Entree;ben_46;ben_153
Cr_77;Entree;ben_9;ben_138
Cr_81;Entree;ben_100;ben_181
Cr_86;Secu;ben_87;ben_110
Cr_88;Secu;ben_47;ben_147
Cr_90;Secu;ben_127;ben_233
Cr_117;Secu;ben_58;ben_158
Cr_140;Snack;ben_28;ben_222
Cr_2;Bar;ben_126;ben_248
Cr_32;Camping;ben_152;ben_256
Cr_42;Camping;ben_183;ben_187
Cr_46;Camping;ben_230;ben_250
Cr_62;Entree;ben_134;ben_243
Cr_91;Secu;ben_93;ben_224
Valeur objectif;771040
