Creneau;Type;Equipier1;Equipier2
Cr_3;Bar;ben_1;ben_2
Cr_19;Bar;ben_3;ben_4
Cr_28;Camping;ben_5;ben_6
Cr_53;Entree;ben_7;ben_8
Cr_59;Secu;ben_9;ben_10
Cr_67;Secu;ben_11;ben_12
Cr_74;Secu;ben_13;ben_14
Cr_76;Secu;ben_15;ben_16
Cr_78;Secu;ben_17;ben_18
Cr_84;Snack;ben_19;ben_20
Cr_88;Snack;ben_21;ben_22
Cr_12;Bar;ben_23;ben_24
Cr_45;Entree;ben_25;ben_26
Cr_50;Entree;ben_27;ben_28
Cr_68;Secu;ben_29;ben_30
Cr_23;Camping;ben_31;ben_32
Cr_34;Camping;ben_33;ben_34
Cr_35;Camping;ben_35;ben_36
Cr_36;Camping;ben_37;ben_38
Cr_44;Entree;ben_39;ben_40
Cr_49;Entree;ben_41;ben_42
Cr_69;Secu;ben_43;ben_44
Cr_71;Secu;ben_45;ben_46
Cr_73;Secu;ben_47;ben_48
Cr_90;Snack;ben_49;ben_50
Cr_10;Bar;ben_51;ben_52
Cr_15;Bar;ben_53;ben_54
Cr_16;Bar;ben_55;ben_56
Cr_47;Entree;ben_57;ben_58
Cr_80;Snack;ben_59;ben_60
Cr_92;Snack;ben_61;ben_62
Cr_2;Bar;ben_63;ben_64
Cr_6;Bar;ben_65;ben_66
Cr_7;Bar;ben_67;ben_68
Cr_8;Bar;ben_69;ben_70
Cr_26;Camping;ben_71;ben_72
Cr_31;Camping;ben_73;ben_74
Cr_48;Entree;ben_75;ben_76
Cr_51;Entree;ben_77;ben_78
Cr_62;Secu;ben_79;ben_80
Cr_75;Secu;ben_81;ben_82
Cr_79;Snack;ben_83;ben_84
Cr_83;Snack;ben_85;ben_86
Cr_85;Snack;ben_87;ben_88
Cr_93;Snack;ben_89;ben_90
Cr_9;Bar;ben_91;ben_92
Cr_25;Camping;ben_93;ben_94
Cr_33;Camping;ben_95;ben_96
Cr_37;Camping;ben_97;ben_98
Cr_43;Entree;ben_99;ben_100
Cr_54;Entree;ben_101;ben_102
Cr_55;Entree;ben_103;ben_104
Cr_60;Secu;ben_105;ben_106
Cr_77;Secu;ben_107;ben_108
Cr_1;Bar;ben_109;ben_110
Cr_11;Bar;ben_111;ben_112
Cr_24;Camping;ben_113;ben_114
Cr_42;Entree;ben_115;ben_116
Cr_56;Entree;ben_117;ben_118
Cr_58;Secu;ben_119;ben_120
Cr_61;Secu;ben_121;ben_122
Cr_81;Snack;ben_123;ben_124
Cr_4;Bar;ben_125;ben_126
Cr_5;Bar;ben_127;ben_128
Cr_17;Bar;ben_129;ben_130
Cr_22;Camping;ben_131;ben_132
Cr_40;Entree;ben_133;ben_134
Cr_46;Entree;ben_135;ben_136
Cr_52;Entree;ben_137;ben_138
Cr_57;Secu;ben_139;ben_140
Cr_70;Secu;ben_141;ben_142
Cr_72;Secu;ben_143;ben_144
Cr_91;Snack;ben_145;ben_146
Cr_20;Camping;ben_147;ben_148
Cr_21;Camping;ben_149;ben_150
Cr_27;Camping;ben_151;ben_152
Cr_39;Entree;ben_153;ben_154
Cr_41;Entree;ben_155;ben_156
Cr_63;Secu;ben_157;ben_158
Cr_64;Secu;ben_159;ben_160
Cr_82;Snack;ben_161;ben_162
Cr_13;Bar;ben_163;ben_164
Cr_14;Bar;ben_165;ben_166
Cr_18;Bar;ben_167;ben_168
Cr_29;Camping;ben_169;ben_170
Cr_30;Camping;ben_172;ben_173
Cr_32;Camping;ben_174;ben_176
Cr_38;Camping;ben_178;ben_180
Cr_65;Secu;ben_171;ben_179
Cr_66;Secu;ben_175;ben_177
Valeur objectif;488641
