Creneau;Type;Equipier1;Equipier2
Cr_6;Bar;ben_1;ben_2
Cr_9;Bar;ben_3;ben_4
Cr_28;Bar;ben_5;ben_6
Cr_36;Camping;ben_7;ben_8
Cr_37;Camping;ben_9;ben_10
Cr_50;Camping;ben_11;ben_12
Cr_68;Entree;ben_13;ben_14
Cr_80;Entree;ben_15;ben_16
Cr_97;Secu;ben_17;ben_18
Cr_98;Secu;ben_19;ben_20
Cr_106;Secu;ben_21;ben_22
Cr_123;Snack;ben_23;ben_24
Cr_124;Snack;ben_25;ben_26
Cr_130;Snack;ben_27;ben_28
Cr_131;Snack;ben_29;ben_30
Cr_13;Bar;ben_31;ben_32
Cr_20;Bar;ben_33;ben_34
Cr_38;Camping;ben_35;ben_36
Cr_43;Camping;ben_37;ben_38
Cr_54;Camping;ben_39;ben_40
Cr_60;Entree;ben_41;ben_42
Cr_66;Entree;ben_43;ben_44
Cr_82;Entree;ben_45;ben_46
Cr_115;Secu;ben_47;ben_48
Cr_118;Snack;ben_49;ben_50
Cr_122;Snack;ben_51;ben_52
Cr_23;Bar;ben_53;ben_54
Cr_25;Bar;ben_55;ben_56
Cr_39;Camping;ben_57;ben_58
Cr_44;Camping;ben_59;ben_60
Cr_52;Camping;ben_61;ben_62
Cr_61;Entree;ben_63;ben_64
Cr_72;Entree;ben_65;ben_66
Cr_76;Entree;ben_67;ben_68
Cr_84;Entree;ben_69;ben_70
Cr_93;Secu;ben_71;ben_72
Cr_121;Snack;ben_73;ben_74
Cr_135;Snack;ben_75;ben_76
Cr_3;Bar;ben_77;ben_78
Cr_14;Bar;ben_79;ben_80
Cr_18;Bar;ben_81;ben_82
Cr_33;Camping;ben_83;ben_84
Cr_40;Camping;ben_85;ben_86
Cr_51;Camping;ben_87;ben_88
Cr_55;Camping;ben_89;ben_90
Cr_56;Camping;ben_91;ben_92
Cr_65;Entree;ben_93;ben_94
Cr_104;Secu;ben_95;ben_96
Cr_116;Secu;ben_97;ben_98
Cr_119;Snack;ben_99;ben_100
Cr_120;Snack;ben_101;ben_102
Cr_126;Snack;ben_103;ben_104
Cr_8;Bar;ben_105;ben_106
Cr_11;Bar;ben_107;ben_108
Cr_16;Bar;ben_109;ben_110
Cr_26;Bar;ben_111;ben_112
Cr_29;Camping;ben_113;ben_114
Cr_47;Camping;ben_115;ben_116
Cr_70;Entree;ben_117;ben_118
Cr_85;Entree;ben_119;ben_120
Cr_87;Secu;ben_121;ben_122
Cr_103;Secu;ben_123;ben_124
Cr_113;Secu;ben_125;ben_126
Cr_114;Secu;ben_127;ben_128
Cr_125;Snack;ben_129;ben_130
Cr_127;Snack;ben_131;ben_132
Cr_132;Snack;ben_133;ben_134
Cr_4;Bar;ben_135;ben_136
Cr_5;Bar;ben_137;ben_138
Cr_27;Bar;ben_139;ben_140
Cr_41;Camping;ben_141;ben_142
Cr_48;Camping;ben_143;ben_144
Cr_49;Camping;ben_145;ben_146
Cr_63;Entree;ben_147;ben_148
Cr_69;Entree;ben_149;ben_150
Cr_74;Entree;ben_151;ben_152
Cr_75;Entree;ben_153;ben_154
Cr_78;Entree;ben_155;ben_156
Cr_89;Secu;ben_157;ben_158
Cr_92;Secu;ben_159;ben_160
Cr_95;Secu;ben_161;ben_162
Cr_101;Secu;ben_163;ben_164
Cr_102;Secu;ben_165;ben_166
Cr_108;Secu;ben_167;ben_168
Cr_111;Secu;ben_169;ben_170
Cr_134;Snack;ben_171;ben_172
Cr_137;Snack;ben_173;ben_174
Cr_15;Bar;ben_175;ben_176
Cr_17;Bar;ben_177;ben_178
Cr_21;Bar;ben_179;ben_180
Cr_31;Camping;ben_181;ben_182
Cr_35;Camping;ben_183;ben_184
Cr_58;Camping;ben_185;ben_186
Cr_71;Entree;ben_187;ben_188
Cr_73;Entree;ben_189;ben_190
Cr_83;Entree;ben_191;ben_192
Cr_99;Secu;ben_193;ben_194
Cr_107;Secu;ben_195;ben_196
Cr_110;Secu;ben_197;ben_198
Cr_133;Snack;ben_199;ben_200
Cr_138;Snack;ben_201;ben_202
Cr_139;Snack;ben_203;ben_204
Cr_1;Bar;ben_205;ben_206
Cr_10;Bar;ben_207;ben_208
Cr_12;Bar;ben_209;ben_210
Cr_19;Bar;ben_211;ben_212
Cr_30;Camping;ben_213;ben_214
Cr_53;Camping;ben_215;ben_216
Cr_57;Camping;ben_217;ben_218
Cr_59;Entree;ben_219;ben_220
Cr_79;Entree;ben_221;ben_222
Cr_96;Secu;ben_223;ben_224
Cr_105;Secu;ben_225;ben_226
Cr_109;Secu;ben_227;ben_228
Cr_112;Secu;ben_229;ben_230
Cr_136;Snack;ben_231;ben_232
Cr_7;Bar;ben_233;ben_234
Cr_22;Bar;ben_235;ben_236
Cr_24;Bar;ben_237;ben_238
Cr_34;Camping;ben_239;ben_240
Cr_45;Camping;ben_241;ben_242
Cr_64;Entree;ben_243;ben_244
Cr_67;Entree;ben_245;ben_246
Cr_77;Entree;ben_247;ben_248
Cr_81;Entree;ben_249;ben_250
Cr_86;Secu;ben_251;ben_252
Cr_88;Secu;ben_253;ben_254
Cr_90;Secu;ben_255;ben_256
Cr_117;Secu;ben_257;ben_258
Cr_140;Snack;ben_259;ben_260
Cr_2;Bar;ben_261;ben_262
Cr_32;Camping;ben_263;ben_266
Cr_42;Camping;ben_267;ben_270
Cr_46;Camping;ben_268;ben_269
Cr_62;Entree;ben_264;ben_272
Cr_91;Secu;ben_265;ben_271
Valeur objectif;770931
